date,symbol,year,quarter,net_income,total_assets,source,book_value
31-03-2022,CHENNPETRO,2022,FY,1352,17523,screener_html,2987
31-03-2023,CHENNPETRO,2023,FY,3532,16079,screener_html,6475
31-03-2024,CHENNPETRO,2024,FY,2745,18375,screener_html,8821
31-03-2025,CHENNPETRO,2025,FY,214,17109,screener_html,8207
31-03-2026,CHENNPETRO,2026,FY,3103,20035,screener_html,11109
31-03-2015,CHOICEIN,2015,FY,5,227,screener_html,60
31-03-2016,CHOICEIN,2016,FY,4,232,screener_html,63
31-03-2017,CHOICEIN,2017,FY,6,287,screener_html,80
31-03-2018,CHOICEIN,2018,FY,12,428,screener_html,166
31-03-2019,CHOICEIN,2019,FY,6,473,screener_html,174
31-03-2020,CHOICEIN,2020,FY,12,502,screener_html,213
31-03-2021,CHOICEIN,2021,FY,17,655,screener_html,263
31-03-2022,CHOICEIN,2022,FY,54,976,screener_html,410
31-03-2023,CHOICEIN,2023,FY,60,1107,screener_html,478
31-03-2024,CHOICEIN,2024,FY,131,1805,screener_html,631
31-03-2025,CHOICEIN,2025,FY,163,2615,screener_html,1028
31-03-2026,CHOICEIN,2026,FY,238,3566,screener_html,1672
31-03-2015,CHOLAFIN,2015,FY,444,23868,screener_html,2675
31-03-2016,CHOLAFIN,2016,FY,575,27889,screener_html,3670
31-03-2017,CHOLAFIN,2017,FY,718,30598,screener_html,4298
31-03-2018,CHOLAFIN,2018,FY,918,44167,screener_html,5125
31-03-2019,CHOLAFIN,2019,FY,1197,57490,screener_html,6208
31-03-2020,CHOLAFIN,2020,FY,1054,64058,screener_html,8200
31-03-2021,CHOLAFIN,2021,FY,1521,74644,screener_html,9600
31-03-2022,CHOLAFIN,2022,FY,2154,82478,screener_html,11769
31-03-2023,CHOLAFIN,2023,FY,2665,113627,screener_html,14346
31-03-2024,CHOLAFIN,2024,FY,3420,156686,screener_html,19593
31-03-2025,CHOLAFIN,2025,FY,4263,201887,screener_html,23668
31-03-2026,CHOLAFIN,2026,FY,5233,245448,screener_html,30458
31-03-2015,CHOLAHLDNG,2015,FY,684,30338,screener_html,2327
31-03-2016,CHOLAHLDNG,2016,FY,1181,9665,screener_html,3324
31-03-2017,CHOLAHLDNG,2017,FY,538,7892,screener_html,2764
31-03-2018,CHOLAHLDNG,2018,FY,1127,53407,screener_html,3310
31-03-2019,CHOLAHLDNG,2019,FY,1415,67937,screener_html,3944
31-03-2020,CHOLAHLDNG,2020,FY,1165,75855,screener_html,4591
31-03-2021,CHOLAHLDNG,2021,FY,1764,88616,screener_html,5386
31-03-2022,CHOLAHLDNG,2022,FY,2239,97771,screener_html,6446
31-03-2023,CHOLAHLDNG,2023,FY,2810,131033,screener_html,7661
31-03-2024,CHOLAHLDNG,2024,FY,3851,176917,screener_html,10242
31-03-2025,CHOLAHLDNG,2025,FY,4740,224615,screener_html,12515
31-03-2026,CHOLAHLDNG,2026,FY,5485,268333,screener_html,15454
31-03-2014,CIPLA,2014,FY,1404,13400,screener_html,10051
31-03-2015,CIPLA,2015,FY,1229,15670,screener_html,10802
31-03-2016,CIPLA,2016,FY,1383,21049,screener_html,11517
31-03-2017,CIPLA,2017,FY,1035,20869,screener_html,12544
31-03-2018,CIPLA,2018,FY,1417,22673,screener_html,14229
31-03-2019,CIPLA,2019,FY,1492,23762,screener_html,15012
31-03-2020,CIPLA,2020,FY,1500,23423,screener_html,15763
31-03-2021,CIPLA,2021,FY,2389,24855,screener_html,18326
31-03-2022,CIPLA,2022,FY,2547,26857,screener_html,20841
31-03-2023,CIPLA,2023,FY,2833,29300,screener_html,23407
31-03-2024,CIPLA,2024,FY,4154,32533,screener_html,26706
31-03-2025,CIPLA,2025,FY,5269,40164,screener_html,32919
31-03-2018,CLEAN,2018,FY,49,236,screener_html,187
31-03-2019,CLEAN,2019,FY,98,327,screener_html,272
31-03-2020,CLEAN,2020,FY,140,430,screener_html,342
31-03-2021,CLEAN,2021,FY,198,660,screener_html,540
31-03-2022,CLEAN,2022,FY,228,925,screener_html,769
31-03-2023,CLEAN,2023,FY,295,1152,screener_html,1010
31-03-2024,CLEAN,2024,FY,244,1396,screener_html,1204
31-03-2025,CLEAN,2025,FY,264,1684,screener_html,1500
31-03-2015,COALINDIA,2015,FY,13727,111267,screener_html,40353
31-03-2016,COALINDIA,2016,FY,14267,113560,screener_html,34833
31-03-2017,COALINDIA,2017,FY,9280,118587,screener_html,24518
31-03-2018,COALINDIA,2018,FY,7038,125471,screener_html,20178
31-03-2019,COALINDIA,2019,FY,17464,133021,screener_html,26455
31-03-2020,COALINDIA,2020,FY,16700,150020,screener_html,32157
31-03-2021,COALINDIA,2021,FY,12702,161051,screener_html,36518
31-03-2022,COALINDIA,2022,FY,17378,179436,screener_html,43143
31-03-2023,COALINDIA,2023,FY,31723,221396,screener_html,60843
31-03-2024,COALINDIA,2024,FY,37369,236470,screener_html,82730
31-03-2025,COALINDIA,2025,FY,35302,258985,screener_html,99105
31-03-2026,COALINDIA,2026,FY,31071,285660,screener_html,119102
31-03-2018,COCHINSHIP,2018,FY,396,5487,screener_html,3256
31-03-2019,COCHINSHIP,2019,FY,478,5251,screener_html,3329
31-03-2020,COCHINSHIP,2020,FY,632,6411,screener_html,3723
31-03-2021,COCHINSHIP,2021,FY,609,7549,screener_html,4034
31-03-2022,COCHINSHIP,2022,FY,564,8414,screener_html,4394
31-03-2023,COCHINSHIP,2023,FY,305,10021,screener_html,4428
31-03-2024,COCHINSHIP,2024,FY,783,12037,screener_html,5004
31-03-2025,COCHINSHIP,2025,FY,827,14253,screener_html,5698
31-03-2015,COFORGE,2015,FY,122,1977,screener_html,1357
31-03-2016,COFORGE,2016,FY,287,2285,screener_html,1572
31-03-2017,COFORGE,2017,FY,272,2407,screener_html,1686
31-03-2018,COFORGE,2018,FY,309,2624,screener_html,1774
31-03-2019,COFORGE,2019,FY,422,2834,screener_html,2072
31-03-2020,COFORGE,2020,FY,468,3400,screener_html,2396
31-03-2021,COFORGE,2021,FY,466,3484,screener_html,2467
31-03-2022,COFORGE,2022,FY,715,4878,screener_html,2733
31-03-2023,COFORGE,2023,FY,745,5625,screener_html,3082
31-03-2024,COFORGE,2024,FY,836,6061,screener_html,3627
31-03-2025,COFORGE,2025,FY,936,12272,screener_html,6379
31-03-2026,COFORGE,2026,FY,1745,14881,screener_html,9537
31-03-2019,COHANCE,2019,FY,109,783,screener_html,578
31-03-2020,COHANCE,2020,FY,317,1173,screener_html,845
31-03-2021,COHANCE,2021,FY,362,1474,screener_html,1180
31-03-2022,COHANCE,2022,FY,454,1830,screener_html,1527
31-03-2023,COHANCE,2023,FY,411,1966,screener_html,1735
31-03-2024,COHANCE,2024,FY,300,2254,screener_html,2050
31-03-2025,COHANCE,2025,FY,265,5568,screener_html,3787
31-03-2014,CONCOR,2014,FY,946,8269,screener_html,6858
31-03-2015,CONCOR,2015,FY,1056,8995,screener_html,7517
31-03-2016,CONCOR,2016,FY,967,9579,screener_html,8307
31-03-2017,CONCOR,2017,FY,854,10126,screener_html,8771
31-03-2018,CONCOR,2018,FY,1060,10918,screener_html,9322
31-03-2019,CONCOR,2019,FY,1222,12798,screener_html,10328
31-03-2020,CONCOR,2020,FY,406,11789,screener_html,10046
31-03-2021,CONCOR,2021,FY,501,12410,screener_html,10188
31-03-2022,CONCOR,2022,FY,1054,13002,screener_html,10754
31-03-2023,CONCOR,2023,FY,1174,13465,screener_html,11227
31-03-2024,CONCOR,2024,FY,1248,14041,screener_html,11827
31-03-2025,CONCOR,2025,FY,1292,14960,screener_html,12788
31-03-2020,CONCORDBIO,2020,FY,169,941,screener_html,771
31-03-2021,CONCORDBIO,2021,FY,235,1183,screener_html,1000
31-03-2022,CONCORDBIO,2022,FY,175,1313,screener_html,1104
31-03-2023,CONCORDBIO,2023,FY,240,1514,screener_html,1290
31-03-2024,CONCORDBIO,2024,FY,308,1701,screener_html,1526
31-03-2025,CONCORDBIO,2025,FY,372,2023,screener_html,1827
31-03-2015,COROMANDEL,2015,FY,402,8362,screener_html,2202
31-03-2016,COROMANDEL,2016,FY,357,9182,screener_html,2634
31-03-2017,COROMANDEL,2017,FY,477,8645,screener_html,2891
31-03-2018,COROMANDEL,2018,FY,691,9848,screener_html,2896
31-03-2019,COROMANDEL,2019,FY,720,10574,screener_html,3358
31-03-2020,COROMANDEL,2020,FY,1065,10149,screener_html,4317
31-03-2021,COROMANDEL,2021,FY,1329,8895,screener_html,5150
31-03-2022,COROMANDEL,2022,FY,1528,11285,screener_html,6358
31-03-2023,COROMANDEL,2023,FY,2013,14235,screener_html,7907
31-03-2024,COROMANDEL,2024,FY,1641,15845,screener_html,9419
31-03-2025,COROMANDEL,2025,FY,2055,18917,screener_html,11087
31-03-2026,COROMANDEL,2026,FY,1898,24503,screener_html,12558
31-03-2017,CRAFTSMAN,2017,FY,80,1818,screener_html,572
31-03-2018,CRAFTSMAN,2018,FY,32,1999,screener_html,597
31-03-2019,CRAFTSMAN,2019,FY,97,2325,screener_html,683
31-03-2020,CRAFTSMAN,2020,FY,40,2307,screener_html,722
31-03-2021,CRAFTSMAN,2021,FY,97,2352,screener_html,970
31-03-2022,CRAFTSMAN,2022,FY,163,2675,screener_html,1136
31-03-2023,CRAFTSMAN,2023,FY,251,3807,screener_html,1377
31-03-2024,CRAFTSMAN,2024,FY,337,4706,screener_html,1658
31-03-2025,CRAFTSMAN,2025,FY,201,7116,screener_html,2857
31-03-2026,CRAFTSMAN,2026,FY,384,8978,screener_html,3264
31-03-2019,CREDITACC,2019,FY,322,7357,screener_html,2366
31-03-2020,CREDITACC,2020,FY,335,12590,screener_html,2734
31-03-2021,CREDITACC,2021,FY,131,15060,screener_html,3692
31-03-2022,CREDITACC,2022,FY,353,17482,screener_html,4167
31-03-2023,CREDITACC,2023,FY,826,21858,screener_html,5107
31-03-2024,CREDITACC,2024,FY,1446,28871,screener_html,6570
31-03-2025,CREDITACC,2025,FY,531,27802,screener_html,6956
31-03-2026,CREDITACC,2026,FY,778,31930,screener_html,7842
31-03-2014,CRISIL,2014,FY,268,1265,screener_html,848
31-03-2015,CRISIL,2015,FY,285,1331,screener_html,856
31-03-2016,CRISIL,2016,FY,294,1385,screener_html,985
31-03-2017,CRISIL,2017,FY,304,1495,screener_html,1048
31-03-2018,CRISIL,2018,FY,363,1634,screener_html,1136
31-03-2019,CRISIL,2019,FY,344,1689,screener_html,1172
31-03-2020,CRISIL,2020,FY,355,2207,screener_html,1312
31-03-2021,CRISIL,2021,FY,466,2504,screener_html,1578
31-03-2022,CRISIL,2022,FY,564,2831,screener_html,1792
31-03-2023,CRISIL,2023,FY,658,3297,screener_html,2189
31-03-2024,CRISIL,2024,FY,684,3942,screener_html,2565
31-03-2025,CRISIL,2025,FY,766,4582,screener_html,3033
31-03-2018,CROMPTON,2018,FY,324,2425,screener_html,789
31-03-2019,CROMPTON,2019,FY,401,2670,screener_html,1097
31-03-2020,CROMPTON,2020,FY,496,2752,screener_html,1468
31-03-2021,CROMPTON,2021,FY,617,3597,screener_html,1932
31-03-2022,CROMPTON,2022,FY,578,6449,screener_html,2453
31-03-2023,CROMPTON,2023,FY,476,5654,screener_html,2660
31-03-2024,CROMPTON,2024,FY,442,6082,screener_html,3000
31-03-2025,CROMPTON,2025,FY,564,6002,screener_html,3399
31-03-2015,CUB,2015,FY,395,27871,screener_html,2696
31-03-2016,CUB,2016,FY,445,31804,screener_html,3052
31-03-2017,CUB,2017,FY,503,35271,screener_html,3570
31-03-2018,CUB,2018,FY,592,39937,screener_html,4163
31-03-2019,CUB,2019,FY,683,45259,screener_html,4840
31-03-2020,CUB,2020,FY,476,49734,screener_html,5296
31-03-2021,CUB,2021,FY,593,53312,screener_html,5843
31-03-2022,CUB,2022,FY,760,61531,screener_html,6586
31-03-2023,CUB,2023,FY,937,66595,screener_html,7457
31-03-2024,CUB,2024,FY,1016,70826,screener_html,8401
31-03-2025,CUB,2025,FY,1124,77623,screener_html,9467
31-03-2026,CUB,2026,FY,1326,97024,screener_html,10565
31-03-2015,CUMMINSIND,2015,FY,772,4599,screener_html,3088
31-03-2016,CUMMINSIND,2016,FY,721,4662,screener_html,3608
31-03-2017,CUMMINSIND,2017,FY,736,5214,screener_html,3871
31-03-2018,CUMMINSIND,2018,FY,712,5715,screener_html,4118
31-03-2019,CUMMINSIND,2019,FY,743,6060,screener_html,4283
31-03-2020,CUMMINSIND,2020,FY,706,6196,screener_html,4402
31-03-2021,CUMMINSIND,2021,FY,635,5956,screener_html,4651
31-03-2022,CUMMINSIND,2022,FY,934,7112,screener_html,5145
31-03-2023,CUMMINSIND,2023,FY,1228,7919,screener_html,5758
31-03-2024,CUMMINSIND,2024,FY,1721,8971,screener_html,6612
31-03-2025,CUMMINSIND,2025,FY,2000,10540,screener_html,7895
31-03-2015,CYIENT,2015,FY,351,2574,screener_html,1844
31-03-2016,CYIENT,2016,FY,320,2713,screener_html,1830
31-03-2017,CYIENT,2017,FY,340,3126,screener_html,2117
31-03-2018,CYIENT,2018,FY,403,3400,screener_html,2344
31-03-2019,CYIENT,2019,FY,477,3860,screener_html,2564
31-03-2020,CYIENT,2020,FY,341,4142,screener_html,2561
31-03-2021,CYIENT,2021,FY,364,4475,screener_html,2957
31-03-2022,CYIENT,2022,FY,522,4762,screener_html,3116
31-03-2023,CYIENT,2023,FY,514,6500,screener_html,3466
31-03-2024,CYIENT,2024,FY,703,6928,screener_html,4259
31-03-2025,CYIENT,2025,FY,648,7621,screener_html,5310
31-03-2026,CYIENT,2026,FY,463,8324,screener_html,5682
31-03-2015,DABUR,2015,FY,1068,6106,screener_html,3354
31-03-2016,DABUR,2016,FY,1254,6932,screener_html,4171
31-03-2017,DABUR,2017,FY,1280,7732,screener_html,4847
31-03-2018,DABUR,2018,FY,1358,8702,screener_html,5706
31-03-2019,DABUR,2019,FY,1446,8437,screener_html,5632
31-03-2020,DABUR,2020,FY,1448,9337,screener_html,6606
31-03-2021,DABUR,2021,FY,1695,10833,screener_html,7664
31-03-2022,DABUR,2022,FY,1742,12284,screener_html,8382
31-03-2023,DABUR,2023,FY,1701,13652,screener_html,8973
31-03-2024,DABUR,2024,FY,1811,15116,screener_html,9866
31-03-2025,DABUR,2025,FY,1740,16230,screener_html,10800
31-03-2026,DABUR,2026,FY,1869,17480,screener_html,11419
31-03-2017,DALBHARAT,2017,FY,44,21262,screener_html,9629
31-03-2018,DALBHARAT,2018,FY,291,21364,screener_html,10335
31-03-2019,DALBHARAT,2019,FY,349,20538,screener_html,10639
31-03-2020,DALBHARAT,2020,FY,238,20878,screener_html,10561
31-03-2021,DALBHARAT,2021,FY,1183,21886,screener_html,12810
31-03-2022,DALBHARAT,2022,FY,845,24668,screener_html,16061
31-03-2023,DALBHARAT,2023,FY,1079,25519,screener_html,15628
31-03-2024,DALBHARAT,2024,FY,853,27712,screener_html,16397
31-03-2025,DALBHARAT,2025,FY,699,30171,screener_html,17374
31-03-2026,DALBHARAT,2026,FY,1157,33312,screener_html,17979
31-03-2014,DATAPATTNS,2014,FY,7,149,screener_html,102
31-03-2015,DATAPATTNS,2015,FY,3,157,screener_html,104
31-03-2016,DATAPATTNS,2016,FY,1,157,screener_html,104
31-03-2017,DATAPATTNS,2017,FY,1,152,screener_html,105
31-03-2018,DATAPATTNS,2018,FY,1,154,screener_html,106
31-03-2019,DATAPATTNS,2019,FY,8,277,screener_html,133
31-03-2020,DATAPATTNS,2020,FY,21,295,screener_html,154
31-03-2021,DATAPATTNS,2021,FY,56,329,screener_html,208
31-03-2022,DATAPATTNS,2022,FY,94,707,screener_html,574
31-03-2023,DATAPATTNS,2023,FY,124,1435,screener_html,1167
31-03-2024,DATAPATTNS,2024,FY,182,1692,screener_html,1324
31-03-2025,DATAPATTNS,2025,FY,222,1752,screener_html,1538
31-03-2014,DCMSHRIRAM,2014,FY,242,4852,screener_html,1687
31-03-2015,DCMSHRIRAM,2015,FY,211,4417,screener_html,1859
31-03-2016,DCMSHRIRAM,2016,FY,301,5007,screener_html,2091
31-03-2017,DCMSHRIRAM,2017,FY,552,5574,screener_html,2528
31-03-2018,DCMSHRIRAM,2018,FY,669,5652,screener_html,3040
31-03-2019,DCMSHRIRAM,2019,FY,904,7136,screener_html,3525
31-03-2020,DCMSHRIRAM,2020,FY,722,8135,screener_html,4049
31-03-2021,DCMSHRIRAM,2021,FY,674,7790,screener_html,4648
31-03-2022,DCMSHRIRAM,2022,FY,1067,9369,screener_html,5501
31-03-2023,DCMSHRIRAM,2023,FY,911,10720,screener_html,6193
31-03-2024,DCMSHRIRAM,2024,FY,447,11547,screener_html,6522
31-03-2025,DCMSHRIRAM,2025,FY,604,13221,screener_html,7225
31-03-2014,DEEPAKFERT,2014,FY,240,3139,screener_html,1453
31-03-2015,DEEPAKFERT,2015,FY,67,3440,screener_html,1472
31-03-2016,DEEPAKFERT,2016,FY,116,4454,screener_html,1527
31-03-2017,DEEPAKFERT,2017,FY,155,5048,screener_html,2016
31-03-2018,DEEPAKFERT,2018,FY,164,6991,screener_html,2046
31-03-2019,DEEPAKFERT,2019,FY,73,7118,screener_html,2098
31-03-2020,DEEPAKFERT,2020,FY,89,6931,screener_html,2181
31-03-2021,DEEPAKFERT,2021,FY,406,7161,screener_html,2703
31-03-2022,DEEPAKFERT,2022,FY,687,8744,screener_html,3885
31-03-2023,DEEPAKFERT,2023,FY,1221,11421,screener_html,5067
31-03-2024,DEEPAKFERT,2024,FY,468,11917,screener_html,5542
31-03-2025,DEEPAKFERT,2025,FY,945,15026,screener_html,6514
31-03-2015,DEEPAKNTR,2015,FY,53,1125,screener_html,346
31-03-2016,DEEPAKNTR,2016,FY,63,1296,screener_html,473
31-03-2017,DEEPAKNTR,2017,FY,96,1789,screener_html,715
31-03-2018,DEEPAKNTR,2018,FY,79,2592,screener_html,922
31-03-2019,DEEPAKNTR,2019,FY,174,2935,screener_html,1071
31-03-2020,DEEPAKNTR,2020,FY,611,3217,screener_html,1572
31-03-2021,DEEPAKNTR,2021,FY,776,3567,screener_html,2346
31-03-2022,DEEPAKNTR,2022,FY,1067,4432,screener_html,3338
31-03-2023,DEEPAKNTR,2023,FY,852,5129,screener_html,4090
31-03-2024,DEEPAKNTR,2024,FY,811,6095,screener_html,4796
31-03-2025,DEEPAKNTR,2025,FY,697,7884,screener_html,5515
31-03-2019,DELHIVERY,2019,FY,-1783,4063,screener_html,3348.96
31-03-2020,DELHIVERY,2020,FY,-269,4357,screener_html,3130.98
31-03-2021,DELHIVERY,2021,FY,-416,4598,screener_html,2802
31-03-2022,DELHIVERY,2022,FY,-1011,8251,screener_html,5957
31-03-2023,DELHIVERY,2023,FY,-1008,11191,screener_html,9177
31-03-2024,DELHIVERY,2024,FY,-249,11453,screener_html,9145
31-03-2025,DELHIVERY,2025,FY,162,12699,screener_html,9529
31-03-2016,DEVYANI,2016,FY,-130,720,screener_html,176
31-03-2017,DEVYANI,2017,FY,-180,596,screener_html,87
31-03-2018,DEVYANI,2018,FY,31,728,screener_html,139
31-03-2019,DEVYANI,2019,FY,-94,1807,screener_html,-70
31-03-2020,DEVYANI,2020,FY,-121,1884,screener_html,-189
31-03-2021,DEVYANI,2021,FY,-63,1668,screener_html,113
31-03-2022,DEVYANI,2022,FY,155,2263,screener_html,686
31-03-2023,DEVYANI,2023,FY,263,2985,screener_html,970
31-03-2024,DEVYANI,2024,FY,-10,4932,screener_html,1056
31-03-2025,DEVYANI,2025,FY,-7,6207,screener_html,1553
31-03-2014,DIVISLAB,2014,FY,773,3710,screener_html,2964
31-03-2015,DIVISLAB,2015,FY,852,4405,screener_html,3496
31-03-2016,DIVISLAB,2016,FY,1126,4898,screener_html,4293
31-03-2017,DIVISLAB,2017,FY,1060,6155,screener_html,5357
31-03-2018,DIVISLAB,2018,FY,877,6785,screener_html,5925
31-03-2019,DIVISLAB,2019,FY,1353,8036,screener_html,6957
31-03-2020,DIVISLAB,2020,FY,1377,8531,screener_html,7310
31-03-2021,DIVISLAB,2021,FY,1984,10771,screener_html,9295
31-03-2022,DIVISLAB,2022,FY,2960,13360,screener_html,11728
31-03-2023,DIVISLAB,2023,FY,1823,14425,screener_html,12767
31-03-2024,DIVISLAB,2024,FY,1600,15460,screener_html,13571
31-03-2025,DIVISLAB,2025,FY,2191,18151,screener_html,15413
31-03-2014,DIXON,2014,FY,14,291,screener_html,74
31-03-2015,DIXON,2015,FY,13,324,screener_html,85
31-03-2016,DIXON,2016,FY,43,417,screener_html,123
31-03-2017,DIXON,2017,FY,48,789,screener_html,197
31-03-2018,DIXON,2018,FY,61,966,screener_html,315
31-03-2019,DIXON,2019,FY,63,1491,screener_html,378
31-03-2020,DIXON,2020,FY,120,1697,screener_html,542
31-03-2021,DIXON,2021,FY,160,2846,screener_html,738
31-03-2022,DIXON,2022,FY,190,4277,screener_html,997
31-03-2023,DIXON,2023,FY,255,4679,screener_html,1285
31-03-2024,DIXON,2024,FY,375,6990,screener_html,1695
31-03-2025,DIXON,2025,FY,1233,19651,screener_html,4064
31-03-2014,DLF,2014,FY,590,64525,screener_html,27395
31-03-2015,DLF,2015,FY,507,66262,screener_html,27369
31-03-2016,DLF,2016,FY,305,61729,screener_html,24069
31-03-2017,DLF,2017,FY,708,63954,screener_html,24573
31-03-2018,DLF,2018,FY,4477,60585,screener_html,35311
31-03-2019,DLF,2019,FY,1314,66483,screener_html,33576
31-03-2020,DLF,2020,FY,-590,55890,screener_html,34447
31-03-2021,DLF,2021,FY,1083,53488,screener_html,35344
31-03-2022,DLF,2022,FY,1500,51167,screener_html,36362
31-03-2023,DLF,2023,FY,2034,52572,screener_html,37687
31-03-2024,DLF,2024,FY,2724,59069,screener_html,39431
31-03-2025,DLF,2025,FY,4367,68940,screener_html,43002
31-03-2015,DMART,2015,FY,212,2355,screener_html,1200
31-03-2016,DMART,2016,FY,320,3102,screener_html,1521
31-03-2017,DMART,2017,FY,479,5819,screener_html,3842
31-03-2018,DMART,2018,FY,806,5648,screener_html,4669
31-03-2019,DMART,2019,FY,902,7006,screener_html,5587
31-03-2020,DMART,2020,FY,1301,12076,screener_html,11080
31-03-2021,DMART,2021,FY,1099,13655,screener_html,12184
31-03-2022,DMART,2022,FY,1492,15471,screener_html,13678
31-03-2023,DMART,2023,FY,2378,18105,screener_html,16078
31-03-2024,DMART,2024,FY,2536,21172,screener_html,18698
31-03-2025,DMART,2025,FY,2707,24313,screener_html,21428
31-03-2026,DMART,2026,FY,2970,29524,screener_html,24464
31-03-2020,DOMS,2020,FY,38,400,screener_html,240.37
31-03-2021,DOMS,2021,FY,-6,458,screener_html,233.37
31-03-2022,DOMS,2022,FY,17,497,screener_html,247.37
31-03-2023,DOMS,2023,FY,103,640,screener_html,337.37
31-03-2024,DOMS,2024,FY,160,1190,screener_html,815
31-03-2025,DOMS,2025,FY,214,1605,screener_html,1099
31-03-2014,DRREDDY,2014,FY,1963,15906,screener_html,7865
31-03-2015,DRREDDY,2015,FY,2336,18457,screener_html,9853
31-03-2016,DRREDDY,2016,FY,2131,20330,screener_html,12569
31-03-2017,DRREDDY,2017,FY,1292,21654,screener_html,12262
31-03-2018,DRREDDY,2018,FY,947,22349,screener_html,12572
31-03-2019,DRREDDY,2019,FY,1950,22418,screener_html,14024
31-03-2020,DRREDDY,2020,FY,2026,23223,screener_html,15599
31-03-2021,DRREDDY,2021,FY,1952,26588,screener_html,17641
31-03-2022,DRREDDY,2022,FY,2182,29746,screener_html,19212
31-03-2023,DRREDDY,2023,FY,4507,32209,screener_html,23286
31-03-2024,DRREDDY,2024,FY,5578,38780,screener_html,28254
31-03-2025,DRREDDY,2025,FY,5725,54373,screener_html,36014
31-03-2014,ECLERX,2014,FY,256,790,screener_html,589
31-03-2015,ECLERX,2015,FY,230,957,screener_html,715
31-03-2016,ECLERX,2016,FY,342,1288,screener_html,1093
31-03-2017,ECLERX,2017,FY,354,1398,screener_html,1216
31-03-2018,ECLERX,2018,FY,290,1419,screener_html,1205
31-03-2019,ECLERX,2019,FY,228,1584,screener_html,1382
31-03-2020,ECLERX,2020,FY,209,1723,screener_html,1306
31-03-2021,ECLERX,2021,FY,283,1991,screener_html,1501
31-03-2022,ECLERX,2022,FY,418,2055,screener_html,1567
31-03-2023,ECLERX,2023,FY,489,2274,screener_html,1715
31-03-2024,ECLERX,2024,FY,512,2906,screener_html,2247
31-03-2025,ECLERX,2025,FY,541,3530,screener_html,2624
31-03-2013,EICHERMOT,2013,FY,525,5337,screener_html,2055
31-03-2014,EICHERMOT,2014,FY,702,6403,screener_html,2516
31-03-2016,EICHERMOT,2016,FY,1338,4939,screener_html,3653
31-03-2017,EICHERMOT,2017,FY,1667,7009,screener_html,5345
31-03-2018,EICHERMOT,2018,FY,1960,9522,screener_html,7030
31-03-2019,EICHERMOT,2019,FY,2203,11387,screener_html,8918
31-03-2020,EICHERMOT,2020,FY,1827,12450,screener_html,9981
31-03-2021,EICHERMOT,2021,FY,1347,14559,screener_html,11438
31-03-2022,EICHERMOT,2022,FY,1677,16140,screener_html,12608
31-03-2023,EICHERMOT,2023,FY,2914,19198,screener_html,14990
31-03-2024,EICHERMOT,2024,FY,4001,23115,screener_html,18045
31-03-2025,EICHERMOT,2025,FY,4734,28944,screener_html,22086
31-03-2014,EIDPARRY,2014,FY,219,11659,screener_html,2417
31-03-2015,EIDPARRY,2015,FY,276,12899,screener_html,2227
31-03-2016,EIDPARRY,2016,FY,175,14131,screener_html,2388
31-03-2017,EIDPARRY,2017,FY,708,13364,screener_html,2751
31-03-2018,EIDPARRY,2018,FY,517,14528,screener_html,2970
31-03-2019,EIDPARRY,2019,FY,438,15901,screener_html,3128
31-03-2020,EIDPARRY,2020,FY,889,14936,screener_html,3520
31-03-2021,EIDPARRY,2021,FY,1000,13257,screener_html,4583
31-03-2022,EIDPARRY,2022,FY,1574,15943,screener_html,5326
31-03-2023,EIDPARRY,2023,FY,1828,18778,screener_html,6085
31-03-2024,EIDPARRY,2024,FY,1618,21487,screener_html,7058
31-03-2025,EIDPARRY,2025,FY,1773,29958,screener_html,8646
31-03-2014,EIHOTEL,2014,FY,120,3704,screener_html,2615
31-03-2015,EIHOTEL,2015,FY,76,3719,screener_html,2610
31-03-2016,EIHOTEL,2016,FY,143,3604,screener_html,2730
31-03-2017,EIHOTEL,2017,FY,118,3680,screener_html,2780
31-03-2018,EIHOTEL,2018,FY,196,4064,screener_html,2882
31-03-2019,EIHOTEL,2019,FY,149,4242,screener_html,2993
31-03-2020,EIHOTEL,2020,FY,165,4442,screener_html,3136
31-03-2021,EIHOTEL,2021,FY,-375,4125,screener_html,3104
31-03-2022,EIHOTEL,2022,FY,-95,4137,screener_html,3027
31-03-2023,EIHOTEL,2023,FY,329,4395,screener_html,3375
31-03-2024,EIHOTEL,2024,FY,678,5045,screener_html,3939
31-03-2025,EIHOTEL,2025,FY,770,5897,screener_html,4706
31-03-2015,ELECON,2015,FY,17,1964,screener_html,536
31-03-2016,ELECON,2016,FY,37,2203,screener_html,704
31-03-2017,ELECON,2017,FY,11,2087,screener_html,709
31-03-2018,ELECON,2018,FY,7,2156,screener_html,708
31-03-2019,ELECON,2019,FY,70,2165,screener_html,768
31-03-2020,ELECON,2020,FY,90,2129,screener_html,854
31-03-2021,ELECON,2021,FY,58,1988,screener_html,919
31-03-2022,ELECON,2022,FY,140,1715,screener_html,1050
31-03-2023,ELECON,2023,FY,238,1730,screener_html,1279
31-03-2024,ELECON,2024,FY,356,2123,screener_html,1604
31-03-2025,ELECON,2025,FY,415,2729,screener_html,1998
31-03-2026,ELECON,2026,FY,341,3234,screener_html,2305
31-03-2014,ELGIEQUIP,2014,FY,46,1164,screener_html,464
31-03-2015,ELGIEQUIP,2015,FY,48,1156,screener_html,494
