date,symbol,market_cap
2011-02-28,ESCORTS,
2011-02-28,NHPC,
2011-02-28,FINCABLES,
2011-02-28,COFORGE,
2011-02-28,CESC,
2011-02-28,TRENT,
2011-02-28,HCLTECH,
2011-02-28,AXISBANK,
2011-02-28,GODREJPROP,
2011-02-28,WELCORP,
2011-02-28,REDINGTON,
2011-02-28,CANFINHOME,
2011-02-28,RAMCOCEM,
2011-02-28,BAJAJFINSV,
2011-02-28,RECLTD,
2011-02-28,AMBUJACEM,
2011-02-28,VOLTAS,
2011-02-28,BHEL,
2011-02-28,TORNTPOWER,
2011-02-28,EIHOTEL,
2011-02-28,TCS,
2011-02-28,POWERGRID,
2011-02-28,TATACHEM,
2011-02-28,ZEEL,
2011-02-28,JPPOWER,
2011-02-28,ACE,
2011-02-28,PERSISTENT,
2011-02-28,IOC,
2011-02-28,EIDPARRY,
2011-02-28,BSOFT,
2011-02-28,ACC,
2011-02-28,KAJARIACER,
2011-02-28,COLPAL,
2011-02-28,SOBHA,
2011-02-28,GLENMARK,
2011-02-28,EXIDEIND,
2011-02-28,COALINDIA,
2011-02-28,TATACONSUM,
2011-02-28,AARTIIND,
2011-02-28,BERGEPAINT,
2011-02-28,BHARATFORG,
2011-02-28,IGL,
2011-02-28,SHRIRAMFIN,
2011-02-28,CHAMBLFERT,
2011-02-28,CENTRALBK,
2011-02-28,IPCALAB,
2011-02-28,DLF,
2011-02-28,BAJFINANCE,
2011-02-28,EMAMILTD,
2011-02-28,BRITANNIA,
2011-02-28,ANANTRAJ,
2011-02-28,NATCOPHARM,
2011-02-28,HAVELLS,
2011-02-28,CUMMINSIND,
2011-02-28,APOLLOTYRE,
2011-02-28,GRAPHITE,
2011-02-28,BALKRISIND,
2011-02-28,CIEINDIA,
2011-02-28,CEATLTD,
2011-02-28,UCOBANK,
2011-02-28,IRB,
2011-02-28,GODREJCP,
2011-02-28,M&MFIN,
2011-02-28,ULTRACEMCO,
2011-02-28,CGPOWER,
2011-02-28,TATASTEEL,
2011-02-28,HSCL,
2011-02-28,COROMANDEL,
2011-02-28,JUBLPHARMA,
2011-02-28,WELSPUNLIV,
2011-02-28,RPOWER,
2011-02-28,ITC,
2011-02-28,BHARTIARTL,
2011-02-28,FORTIS,
2011-02-28,TORNTPHARM,
2011-02-28,BAJAJ-AUTO,
2011-02-28,KOTAKBANK,
2011-02-28,UBL,
2011-02-28,PFC,
2011-02-28,CEMPRO,
2011-02-28,LTFOODS,
2011-02-28,INDIANB,
2011-02-28,SUNTV,
2011-02-28,DEEPAKFERT,
2011-02-28,MFSL,
2011-02-28,JKTYRE,
2011-02-28,MANAPPURAM,
2011-02-28,SAIL,
2011-02-28,ASHOKLEY,
2011-02-28,UNOMINDA,
2011-02-28,SBIN,
2011-02-28,HINDALCO,
2011-02-28,NAUKRI,
2011-02-28,LUPIN,
2011-02-28,BRIGADE,
2011-02-28,TITAGARH,
2011-02-28,JSWENERGY,
2011-02-28,MRPL,
2011-02-28,RADICO,
2011-02-28,KPIL,
2011-03-31,REDINGTON,
2011-03-31,TORNTPOWER,
2011-03-31,HINDCOPPER,
2011-03-31,NLCINDIA,
2011-03-31,ASHOKLEY,
2011-03-31,GMDCLTD,
2011-03-31,TRENT,
2011-03-31,CEATLTD,
2011-03-31,IPCALAB,
2011-03-31,IGL,
2011-03-31,CIEINDIA,
2011-03-31,ACC,
2011-03-31,TATAPOWER,
2011-03-31,POONAWALLA,
2011-03-31,NMDC,
2011-03-31,BRITANNIA,
2011-03-31,TATACHEM,
2011-03-31,ZYDUSLIFE,
2011-03-31,PERSISTENT,
2011-03-31,HAVELLS,
2011-03-31,NCC,
2011-03-31,CUB,
2011-03-31,HCLTECH,
2011-03-31,WELCORP,
2011-03-31,PRESTIGE,
2011-03-31,M&M,
2011-03-31,PNB,
2011-03-31,ADANIPORTS,
2011-03-31,INDIANB,
2011-03-31,INDIACEM,
2011-03-31,LICHSGFIN,
2011-03-31,LT,
2011-03-31,UCOBANK,
2011-03-31,GRAPHITE,
2011-03-31,INDHOTEL,
2011-03-31,BANKINDIA,
2011-03-31,UNITDSPR,
2011-03-31,CHOLAFIN,
2011-03-31,UNOMINDA,
2011-03-31,TATASTEEL,
