date,symbol,market_cap,bm,profitability,asset_growth
2014-11-30,ZEEL,366843495550.0,,,
2014-11-30,OIL,355932625600.0,,,
2014-11-30,LICHSGFIN,213169654579.19998,,,
2014-11-30,MCX,44243661920.0,,,
2014-11-30,DIVISLAB,458677338200.0,,,
2014-11-30,BPCL,539601435000.0,,,
2014-12-31,DIVISLAB,457469454250.0,,,
2014-12-31,ACC,262871161750.00003,,0.141396933560477,
2014-12-31,APOLLOHOSP,157169512500.0,,,
2014-12-31,OIL,346494790400.0,,,
2014-12-31,LICHSGFIN,220033071488.0,,,
2014-12-31,PFC,397860056000.0,,,
2014-12-31,BPCL,467112264000.0,,,
2014-12-31,ZEEL,365690956750.0,,,
2014-12-31,MCX,42927903200.0,,,
2014-12-31,CONCOR,329750454000.0,,,
2015-01-31,ACC,292966685250.0,,0.141396933560477,
2015-01-31,BPCL,541481453400.0,,,
2015-01-31,PFC,393965938000.0,,,
2015-01-31,ZEEL,361849160750.0,,,
2015-01-31,MCX,44921940640.0,,,
2015-01-31,LICHSGFIN,241481249328.0,,,
2015-01-31,MINDACORP,20200035800.0,,,
2015-01-31,DIVISLAB,462539912150.0,,,
2015-01-31,APOLLOHOSP,182747643750.0,,,
2015-01-31,CONCOR,340839623000.0,,,
2015-01-31,OIL,321307192000.0,,,
2015-02-28,ZEEL,332747556050.0,,,
2015-02-28,LICHSGFIN,241733580832.0,,,
2015-02-28,APOLLOHOSP,182838075000.0,,,
2015-02-28,PFC,386903724000.0,,,
2015-02-28,MCX,60685546080.0,,,
2015-02-28,MINDACORP,20597674300.0,,,
2015-02-28,DIVISLAB,456911969350.0,,,
2015-02-28,BPCL,539565280800.00006,,,
2015-02-28,CONCOR,376788028000.0,,,
2015-02-28,OIL,299155330400.0,,,
2015-02-28,ACC,315054884500.0,,0.141396933560477,
2015-03-31,BPCL,586276507200.0,,,
2015-03-31,DIVISLAB,473981626050.0,,,
2015-03-31,OIL,273486823200.0,,,
2015-03-31,MINDACORP,20927146200.0,,,
2015-03-31,PFC,360436922000.0,,,
2015-03-31,ACC,293398498750.0,,0.141396933560477,
2015-03-31,CONCOR,386024940200.0,,,
2015-03-31,LICHSGFIN,220840532300.80002,,,
2015-03-31,IRB,85824090000.0,,,
2015-03-31,APOLLOHOSP,190489950000.0,,,
2015-03-31,ZEEL,328233445750.0,,,
2015-03-31,MCX,57243154080.0,,,
2015-04-30,MCX,53260179039.99999,,,
2015-04-30,ACC,269170006500.0,,0.141396933560477,
2015-04-30,MINDACORP,20381813400.0,,,
2015-04-30,INOXWIND,94614739300.0,,,
2015-04-30,ZEEL,299708110450.0,,,
2015-04-30,DIVISLAB,457522548050.0,,,
2015-04-30,CONCOR,399880308500.0,,,
2015-04-30,IRB,82046002500.0,,,
2015-04-30,LICHSGFIN,217030326590.4,,,
2015-04-30,BPCL,552978489000.0,,,
2015-04-30,OIL,275200060800.0,,,
2015-04-30,PFC,350668626000.0,,,
2015-04-30,APOLLOHOSP,158205993750.0,,,
2015-05-31,OIL,279498183200.0,,,
2015-05-31,ZEEL,310945363750.0,,,
2015-05-31,BPCL,614729862600.0,,,
2015-05-31,PFC,359842904000.0,,,
2015-05-31,INOXWIND,96700768500.0,,,
2015-05-31,LICHSGFIN,211453800352.0,,,
2015-05-31,MCX,55919745600.0,,,
2015-05-31,ACC,283945538000.0,,0.141396933560477,
2015-05-31,APOLLOHOSP,168696018750.0,,,
2015-05-31,VEDL,582413350500.0,,,
2015-05-31,CONCOR,445029068000.0,,,
2015-05-31,IRB,86755432500.0,,,
2015-05-31,DIVISLAB,483127033100.0,,,
2015-05-31,MINDACORP,20756729700.0,,,
2015-06-30,DIVISLAB,499041899650.0,,0.2437070938215103,
2015-06-30,CONCOR,408946618100.0,,0.14048157509644804,
2015-06-30,OIL,268587564800.0,,0.12129668387516859,
2015-06-30,ACC,271207039750.0,,0.06970668566678542,
2015-06-30,IRB,82046002500.0,,0.1243119266055046,
2015-06-30,ADANIPORTS,637645505000.0,,0.2158848118903855,
2015-06-30,PFC,337930240000.0,,0.1852457498997254,
2015-06-30,ZEEL,353349187100.0,,0.2752761257434155,
2015-06-30,INOXWIND,93849122200.0,,0.21264367816091953,
2015-06-30,VEDL,516300763500.0,,-0.21102552204176334,
2015-06-30,BPCL,635843915400.0,,0.22524598883077743,
2015-06-30,MCX,53221930239.99999,,0.1045643153526971,
2015-06-30,APOLLOHOSP,183081543750.0,,0.10561160151324085,
2015-06-30,LICHSGFIN,227552550307.19998,,0.17715736040609137,
2015-06-30,MINDACORP,19893286100.0,,0.19686800894854586,
2015-07-31,APOLLOHOSP,189189131250.0,,0.10561160151324085,
2015-07-31,IRB,86368837500.0,,0.1243119266055046,
2015-07-31,GODREJCP,468607461299.99994,,0.22639758756668987,
2015-07-31,VEDL,386150872500.0,,-0.21102552204176334,
2015-07-31,LICHSGFIN,251927773593.6,,0.17715736040609137,
2015-07-31,BPCL,670118097000.0,,0.22524598883077743,
2015-07-31,CONCOR,400136212400.0,,0.14048157509644804,
2015-07-31,DIVISLAB,520743990400.0,,0.2437070938215103,
2015-07-31,OIL,259901149600.0,,0.12129668387516859,
2015-07-31,PFC,324927846000.0,,0.1852457498997254,
2015-07-31,MCX,57908683200.0,,0.1045643153526971,
2015-07-31,ZEEL,383027061200.0,,0.2752761257434155,
2015-07-31,ACC,260477413000.00003,3.1262463121822447e-08,0.06970668566678542,
2015-07-31,MINDACORP,17109816600.0,,0.19686800894854586,
2015-07-31,INOXWIND,92684052700.0,,0.21264367816091953,
2015-07-31,ADANIPORTS,673058750000.0,,0.2158848118903855,
2015-08-31,ADANIPORTS,736119177500.0,,0.2158848118903855,
2015-08-31,OIL,270180575200.0,,0.12129668387516859,
2015-08-31,CONCOR,347310335900.0,,0.14048157509644804,
2015-08-31,ACC,250611413249.99997,3.1262463121822447e-08,0.06970668566678542,
2015-08-31,DIVISLAB,627595262900.0,,0.2437070938215103,
2015-08-31,PFC,295886966000.0,,0.1852457498997254,
2015-08-31,ZEEL,369580775200.0,,0.2752761257434155,
2015-08-31,BPCL,638627788800.0,,0.22524598883077743,
2015-08-31,INOXWIND,81233083900.0,,0.21264367816091953,
2015-08-31,LICHSGFIN,223565712544.0,,0.17715736040609137,
2015-08-31,MCX,51332439520.0,,0.1045643153526971,
2015-08-31,MINDACORP,16780344699.999998,,0.19686800894854586,
2015-08-31,IRB,82098720000.0,,0.1243119266055046,
2015-08-31,GODREJCP,453709142549.99994,,0.22639758756668987,
2015-08-31,APOLLOHOSP,186455325000.0,,0.10561160151324085,
2015-08-31,VEDL,292466668500.0,,-0.21102552204176334,
2015-08-31,JINDALSTEL,61800549300.0,,-0.06900484744796122,
2015-09-30,LICHSGFIN,237469178414.4,,0.17715736040609137,
2015-09-30,VEDL,251109243000.0,,-0.21102552204176334,
2015-09-30,BPCL,1230231298000.0,,0.22524598883077743,
2015-09-30,APOLLOHOSP,200562600000.0,,0.10561160151324085,
2015-09-30,MCX,47793150560.0,,0.1045643153526971,
2015-09-30,ADANIPORTS,619214050000.0,,0.2158848118903855,
2015-09-30,CONCOR,361933415900.0,,0.14048157509644804,
2015-09-30,MINDACORP,16325900699.999998,,0.19686800894854586,
2015-09-30,ZEEL,376928210050.0,,0.2752761257434155,
2015-09-30,GODREJCP,415399180049.99994,,0.22639758756668987,
2015-09-30,DIVISLAB,295984661550.0,,0.2437070938215103,
2015-09-30,IRB,83416657500.0,,0.1243119266055046,
2015-09-30,PFC,303741204000.0,,0.1852457498997254,
2015-09-30,INOXWIND,79624178400.0,,0.21264367816091953,
2015-09-30,OIL,254490925600.0,,0.12129668387516859,
2015-09-30,JINDALSTEL,55487835900.0,,-0.06900484744796122,
2015-09-30,ACC,252845578750.0,3.1262463121822447e-08,0.06970668566678542,
2015-10-31,VEDL,296320765500.0,,-0.21102552204176334,
2015-10-31,INOXWIND,88101446000.0,,0.21264367816091953,
2015-10-31,BPCL,1259732554000.0,,0.22524598883077743,
2015-10-31,SBIN,1890118175000.0,,0.1104914863558629,
2015-10-31,DIVISLAB,306311405650.0,,0.2437070938215103,
2015-10-31,ACC,259013001999.99997,3.1262463121822447e-08,0.06970668566678542,
2015-10-31,IRB,86474272500.0,,0.1243119266055046,
2015-10-31,ZEEL,392487483850.0,,0.2752761257434155,
2015-10-31,ADANIPORTS,613518937500.0,,0.2158848118903855,
2015-10-31,PFC,316545592000.0,,0.1852457498997254,
2015-10-31,MCX,45459973760.0,,0.1045643153526971,
2015-10-31,MINDACORP,17234788700.0,,0.19686800894854586,
2015-10-31,LICHSGFIN,242137311238.4,,0.17715736040609137,
2015-10-31,APOLLOHOSP,182636343750.0,,0.10561160151324085,
2015-10-31,OIL,244001102400.0,,0.12129668387516859,
2015-10-31,SIEMENS,472660270000.0,,0.2294313074066836,
2015-10-31,TCS,4916616936000.0,,0.3961686580428557,
2015-10-31,GODREJCP,429752646000.0,,0.22639758756668987,
2015-10-31,CONCOR,322962907700.0,,0.14048157509644804,
2015-10-31,JINDALSTEL,73328112900.0,,-0.06900484744796122,
2015-11-30,IIFL,66423222000.0,,0.1860828772478499,
2015-11-30,ZEEL,392007259350.0,,0.2752761257434155,
2015-11-30,JINDALSTEL,83346114600.0,,-0.06900484744796122,
2015-11-30,APOLLOHOSP,182970243750.0,,0.10561160151324085,
2015-11-30,MINDACORP,20847618500.0,,0.19686800894854586,
2015-11-30,SIEMENS,440858754000.0,,0.2294313074066836,
2015-11-30,IDEA,509042828000.0,,0.13866330829026793,
2015-11-30,VEDL,266673865500.0,,-0.21102552204176334,
2015-11-30,MCX,44167164320.0,,0.1045643153526971,
2015-11-30,DIVISLAB,305368990700.0,,0.2437070938215103,
2015-11-30,ACC,252376216250.0,3.1262463121822447e-08,0.06970668566678542,
2015-11-30,RELIANCE,3128590978500.0,,0.10819271484080019,
2015-11-30,DABUR,479453607000.0,,0.3184257602862254,
2015-11-30,SBIN,1994969700000.0,,0.1104914863558629,
2015-11-30,OIL,226928840000.0,,0.12129668387516859,
2015-11-30,INOXWIND,80212261100.0,,0.21264367816091953,
2015-11-30,HDFCBANK,2719152472500.0,,0.16947461760141874,
2015-11-30,TCS,4659475821000.0,,0.3961686580428557,
2015-11-30,ADANIPORTS,554393315000.0,,0.2158848118903855,
